"gene" "baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Myo18a"	26817.452294381	0.194349681967188	0.121131841547309	1.60444751342515	0.108615445008897	0.30262359577881
"Sez6"	109.963544733602	0.52884081369718	0.171602283121634	3.0817819208287	0.00205765525389212	0.0234347202477522
"Haao"	195.143042133485	0.288463085156255	0.152450575009715	1.89217446466091	0.0584677394368176	0.207469392094623
"Cd52"	209.875714733914	0.34047213145595	0.167338603730909	2.03462992916716	0.0418881235458096	0.167828832708929
"Abhd15"	71.7037296317781	0.192944396964445	0.237807923045359	0.811345536740775	0.417167266425916	0.657784094931443
"Hoxb6"	3877.13880274589	0.0268618513693074	0.157013652944846	0.171079717371732	0.864161083937942	0.94156808228295
"Loxl3"	265.068691092458	-0.141589343549779	0.161958215040423	-0.874233786254313	0.381990950008253	0.626899478556773
"Btn1a1"	229.62991571257	-0.544783761750987	0.244655534302329	-2.22673794526871	0.0259647928490713	0.12409961928553
"Kat2b"	3564.99153151472	0.00520961699201804	0.111788829791188	0.0466023036626215	0.962830195969832	0.985227107605314
"Rab5b"	5333.19201454153	-0.0948555073132884	0.0727073492560379	-1.30462062341533	0.192022062184798	0.425019251396389
"Cryba1"	160.288387882129	0.141007830909262	0.134364179799398	1.04944510597826	0.293973307525797	0.542830445034864
"Aire"	263.442287177189	0.241933715593029	0.177075128591428	1.36627722660731	0.171851966137023	0.399893341708782
"Icosl"	1002.79101471897	0.173860577413375	0.0840323438651651	2.06897212925947	0.0385487021450815	0.159233602141264
"Spg7"	7123.60680122756	0.0762744007787075	0.0713036070169282	1.06971307581395	0.284748478814764	0.533799064907767
"Sult5a1"	416.944165041787	0.206091819214949	0.111269052923612	1.8521935237144	0.0639980384309313	0.219192151485158
"Rpl13"	20864.066259955	-0.26409048034132	0.138441893477962	-1.9075907856126	0.0564441270108948	0.203419958006725
"Chmp1a"	10598.617919563	0.0691605206688842	0.132750859000535	0.520979835381748	0.602380818566556	0.795036645289574
"Rpa1"	3882.32375262464	-0.291051324698027	0.0938832791732363	-3.10014016618412	0.00193429083025167	0.0225866488240342
"Serpinf1"	49.0336859490294	-0.254013086137867	0.352625865310753	-0.720347289085038	0.471311195528912	0.70173375351493
"Tubgcp3"	4771.907828439	-0.0371212058499104	0.0747905417168798	-0.496335565938712	0.619657677244292	0.805928949899342
"Oprm1"	27.542718691629	0.272662443126458	0.244664752291975	1.11443287425837	0.265093526696937	NA
"Polr3d"	1521.03048310166	-0.290915293319751	0.110352633251207	-2.63623336162273	0.00838320563193372	0.0598779824947568
"Tcf7"	277.431876757065	-0.113155176223631	0.135470209309939	-0.835277193414131	0.40356165534735	0.646192636605113
