"gene" "baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Pcbp3"	57.2054823995948	0.135210248838189	0.351707849412966	0.384439099280463	0.700653025808618	0.853513444186498
"Lgals9"	10090.0796684092	0.547647891870041	0.192999370130903	2.83756310447332	0.00454593596790045	0.0395551142199103
"Araf"	8162.54525917931	0.0426146858517991	0.0516711872560909	0.824728211500033	0.409525911322817	0.651511371362016
"Cfp"	217.800844375447	0.175828836046974	0.201957138850499	0.870624514923106	0.383959206479634	0.628454935066774
"Timp1"	18.0868938125787	-0.657050923217457	0.418563278744392	-1.56977679740201	0.116467047356934	NA
"Uxt"	757.57376416043	-0.0811143290733317	0.149753934936448	-0.541650735974014	0.588059133224926	0.785724222799546
"Cnnm3"	2226.73998352454	0.203125606679692	0.102550400595508	1.98073928039428	0.0476205192683659	0.182114534129344
"Lman2l"	1960.09154047243	0.234615779627541	0.0769160920734702	3.05028211006139	0.0022862650421423	0.0250930792876186
"Mcm3ap"	4418.855077403	0.168508327291463	0.0746955965376166	2.25593388502631	0.0240747720208362	0.11836644268553
"Pcnt"	7704.1014867418	0.115831127545926	0.0974212984777792	1.18897129637772	0.234450962251211	0.479632209684194
"Ftcd"	44.547228775148	0.0955258539664425	0.190248475715953	0.50211100828511	0.615589437099991	NA
"Mxd1"	26177.7683712304	0.180495233567001	0.185783677406651	0.971534400042724	0.331282231477477	0.579970619604915
"Gmcl1"	2718.45372281001	-0.0116603369168003	0.0753959824839683	-0.154654618623475	0.877093608521429	0.947956615046755
"Snrnp27"	964.288199863313	-0.169948119591192	0.108978088843705	-1.55947054489943	0.118885050833633	0.317744829674432
"Oas1c"	307.934843557992	0.611022447059004	0.201913447423266	3.02616024270109	0.00247681002410581	0.0264681215172438
"Oas1h"	145.859604150521	1.37574512246438	0.307780337232099	4.46989282953096	7.82588004413738e-06	0.000522605354915326
"Ocrl"	2349.48151402516	0.160862870295743	0.0790338865431597	2.03536580739829	0.0418140791235072	0.167821508005233
"Calm1"	59095.9216395206	-0.00469350158125655	0.134384895235565	-0.0349258119599622	0.972138898198062	0.989000734789545
"Agpat3"	4077.84332445387	-0.0741999797141414	0.0962377555184109	-0.771006964100971	0.440702803754649	0.676991277717568
"Slc26a3"	22657.2435304306	-0.0262186073894103	0.254587920328411	-0.102984490998587	0.917975279890845	0.965043494596003
"Sema6b"	194.381593078106	0.126850666067147	0.169163009081097	0.749872367228549	0.453331578442927	0.687013559854972
"Uhrf1"	6337.95643539019	-0.4089316862971	0.132612875224369	-3.08364995182576	0.00204478033271953	0.0233520655030635
"Dpp9"	4115.53021526289	-0.0673873692337123	0.0899332548922424	-0.749304240288595	0.453673852656025	0.687211005430439
"Ramp2"	87.479074889416	-0.046165996501829	0.357428784278848	-0.129161384120123	0.897229951212716	0.955989271272579
"Lsr"	6657.15096179815	-0.056752782260552	0.11184477402787	-0.507424533276898	0.611856975453759	0.800815195498194
"Gramd1a"	933.948758753328	-0.447400154713516	0.23229478351212	-1.92600172913557	0.0541041579386264	0.1984216890612
"Hpn"	395.087056624835	-0.438135880037275	0.164851373582566	-2.65776299290484	0.00786611899347932	0.0571668822655481
"Gabrg1"	50.9744963936645	0.175202178302226	0.190699358073475	0.918735018681721	0.358234188437319	0.605576464706081
"Ckb"	1374.72510026633	-0.612730849898765	0.372999160993426	-1.64271374838177	0.100442172876738	0.288703967259188
"Sp1"	10469.1183008937	-0.074483340529364	0.06067282832042	-1.22762268697957	0.219588641240546	0.460550290991215
"Itgb7"	223.822845505963	0.0743048764783355	0.187382745478802	0.396540654202023	0.691706222876629	0.848649818968766
"Myg1"	1399.88035314723	-0.120781313425224	0.0837180649997698	-1.44271506305785	0.149100754208714	0.36534738299182
"Rarg"	1390.92236546608	-0.0367623969676844	0.167225561381125	-0.21983718675579	0.825997957152526	0.922121512582005
"Pfdn5"	3067.60923180669	-0.105546159003498	0.154082166025783	-0.684999190534724	0.493344431768688	0.719600213909597
"Efnb2"	7078.38918668939	0.0498503413271608	0.124572722341067	0.40017060228222	0.689030865614466	0.847301082194745
"Rrp15"	890.236244048931	-0.522582423873796	0.0968966059627172	-5.39319637340929	6.92152371093804e-08	1.64415851807825e-05
"Rnd2"	191.447702061899	-0.275618337704664	0.232617596312256	-1.18485592695527	0.236074415604122	0.481708845584163
"Srr"	1885.40002494574	0.245134311541517	0.114678530057881	2.13757807514442	0.0325510027695802	0.142849847994875
"Sync"	163.528868228789	-0.252826289332941	0.168062232737531	-1.50436112394026	0.132488408503653	0.340345262389062
"Fndc5"	1041.94711670465	0.0504833078694656	0.198651656631278	0.254129810571723	0.799395273673773	0.907885022242162
"Acp5"	8657.93316087281	0.0115542961476085	0.154937231993636	0.0745740452371262	0.9405536255054	0.974787498660043
"Cnn1"	394.782290626303	0.145545624260138	0.630642372634495	0.230789478436288	0.817478355593302	0.917559203582521
"Fbxo9"	3048.51149810605	-0.0488757232077891	0.0555605847268221	-0.879683384329001	0.379030853003681	0.6247546613546
"Vps50"	4347.03842218174	-0.00535213099757491	0.0749676703332415	-0.071392521253281	0.943085361598528	0.975855788924843
"Hars"	3335.40607998967	-0.30311653093469	0.0704774316457186	-4.30090205980291	1.7010423506419e-05	0.000915369974319532
"Zmat2"	2433.32922893393	-0.207025789720093	0.0604567510355066	-3.42436181525047	0.000616245154373052	0.0107144658140222
"Ube2c"	1660.97282240902	-0.500292536188419	0.15249386905448	-3.28073868995798	0.00103535618218696	0.0151681961210615
"Smg5"	8594.89250852163	0.0270526111296467	0.0714956288388111	0.378381330006028	0.705147335531701	0.856246242335695
"Cct3"	13209.0197608956	-0.218859261604484	0.0906959515518888	-2.41310949231588	0.0158170671864576	0.0911873366287158
"Glmp"	6365.21179083047	0.0174741062407468	0.122864385545968	0.142222712978198	0.886904091785569	0.951693420121995
"Mef2d"	5255.74851218711	0.164856416000122	0.102129535769846	1.61418941893199	0.106486346388259	0.298945630211712
"Tmem79"	1655.09620469045	-0.179959832149537	0.122632204526775	-1.46747612377991	0.142246579707498	0.354507812856156
"Snd1"	18385.6017993536	-0.2758895678139	0.0923716645999204	-2.98673374577401	0.00281975184806016	0.028853436141258
"Col18a1"	1122.01190529382	0.0219918605247344	0.200332519776823	0.109776787858676	0.912586400371356	0.962346066908763
"Slc19a1"	1357.28240381514	-0.0334279003940877	0.101421311776386	-0.32959443935994	0.74170642478593	0.877494484358189
