"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Brat1"	1730.3196328224	0.157740700857586	0.150475515537085	1.04828151141114	0.294508925295484	0.492702186968903
"Gna12"	1610.12397806191	0.167048930442587	0.197197583617039	0.847114489835731	0.396931309420136	0.588173836439469
"Slc22a18"	3519.40283398655	-0.110960020572115	0.234779448971399	-0.472613855506718	0.636488695558298	0.77739524207039
"Itgb2l"	2413.52769771111	0.353406128918392	0.212150392325075	1.66582830719857	0.0957476163113094	0.265191140719754
"Igsf5"	3698.9222564604	-0.169911018985354	0.133389222742941	-1.27379870345894	0.202734764792804	0.396442265511816
"Pih1d2"	265.048048451947	0.0773602820362455	0.128581885072029	0.601642151947839	0.547412364109893	0.710458643907726
"Dlat"	6361.26551985166	-0.342300140122794	0.12690424367423	-2.69731043038636	0.00699020722450361	0.0704859505354006
"Sdhd"	15082.0525169287	-0.50427272401878	0.143359673696022	-3.51753537810105	0.000435574283905553	0.0183398021050282
"Fgf23"	34.5726637770213	0.278976471701761	0.353141866727905	0.789984133817562	0.429537034355822	0.615616257707311
"Fgf6"	51.664834004975	0.302099498237346	0.434142644566515	0.695853084275994	0.486520841001327	0.66315114711456
"Ccnd2"	38217.8440418041	-0.439189465768825	0.237437972433329	-1.84970188747777	0.0643565283239673	0.213498653809126
"Gpr107"	7611.50663867677	0.091066958491163	0.126223951327972	0.721471301865211	0.470619591266733	0.65038471270303
"Nalcn"	139.058862149525	0.336798488823727	0.266190539965133	1.26525341158947	0.205780501390316	0.399773665935294
"Btbd17"	13.0941109340957	-0.171998081500456	0.50441511594494	-0.34098518474857	0.733114734953201	NA
"Slfn4"	20297.8885512909	1.25155636082052	0.818141779197876	1.52975485746196	0.126077419356836	0.306631255639438
"Th"	14.0735419997975	0.303464809041319	0.514467712703925	0.589861718330928	0.55528336097001	NA
"Scnn1g"	638.621493968648	0.152653247705874	0.617339426182933	0.247276038482984	0.804694601596755	0.892701475446779
"Drp2"	163.411466723717	0.0445159611155387	0.35015710899799	0.127131393227816	0.898836404844862	0.943947734325152
"Tspan32"	148.273809139017	0.215227411237567	0.315353641630954	0.682495404601795	0.494925747567206	0.670425547728553
"Lhx2"	12.8021977799721	0.0978055913903915	0.845258456960016	0.115710869953494	0.907881691146933	NA
"Clec2g"	27.8595448577427	0.184609413235983	0.515493526621107	0.358121690578808	0.720252247372843	NA
"Gmpr"	1246.79941154363	-0.135063350630267	0.189551542286402	-0.712541554666927	0.476129488704056	0.65430849892518
"Mid2"	3019.47600998374	-0.0100065629969834	0.118444797973894	-0.0844829251107251	0.93267247809107	0.962408851976813
"Trim25"	9684.13008983021	-0.028675716521206	0.243135299002579	-0.117941395753078	0.90611409305913	0.947670397944975
"Dgke"	1500.0495199937	-0.126564297365841	0.120197537557457	-1.05296913678735	0.292355137420189	0.490802950236772
"Scpep1"	3688.98681561532	-0.129432879752828	0.172221690797571	-0.751548072449034	0.452322881055503	0.635739574475148
"Mnt"	1327.35477219008	0.357500152048776	0.200414898374729	1.78380028105662	0.0744561239041421	0.233012469144171
"Itgb2"	156.772526384706	-0.694545050309399	0.432978782755109	-1.60410874151824	0.108690085380838	0.282450239941202
"Hddc2"	980.726052445107	-0.548396969558661	0.1889590965493	-2.90219936257783	0.00370552639177348	0.0517963579766685
"Tpd52l1"	191.946091725518	-0.203258345849122	0.281646503280343	-0.721678925467803	0.470491901942186	0.65038471270303
"Pemt"	348.567039500412	-0.0611989022896377	0.168505366615856	-0.363186665912865	0.716465447630844	0.833390136948404
"Cdh1"	88751.9611731708	-0.412885095797932	0.162647008508805	-2.5385348281741	0.0111317722413327	0.087757527034513
"Cdh4"	52.448477111189	0.00445537012831312	0.399399290726666	0.0111551778677599	0.991099640397169	0.995482230300595
"Ckmt1"	100679.481314992	-0.434541221666668	0.224688130642841	-1.93397497421618	0.0531162048681283	0.194055331949482
"Bcl6b"	142.505252339221	0.493320203040572	0.325526971162919	1.51545108928525	0.129658207721912	0.310916743978799
"Clec10a"	10.7031548223273	-0.133010700536564	0.697741285272665	-0.190630400327516	0.848815170920874	NA
"Alox12"	138.566501646772	0.348982328102489	0.304919006929144	1.1445082798121	0.252412906093955	0.448615669504781
"Arvcf"	724.735925057177	0.302612994445756	0.200992508697808	1.50559339950691	0.132171583924845	0.314194168726878
"Comt"	2350.02530876206	-0.163121515435756	0.139332001619455	-1.17073976932647	0.241703394453586	0.437050979203128
"Rtca"	1641.28680510925	-0.100975055759669	0.148331220262338	-0.680740410421256	0.496035761573698	0.670981456828612
"Dbt"	2800.26660438783	-0.0890797608000642	0.185629217560308	-0.47988006398359	0.631312677797455	0.77375582228026
"Dazap2"	13403.2893700131	-0.339061073852532	0.152125110867708	-2.2288304141148	0.0258251904872626	0.132842748325868
"Mcts1"	1527.31968507116	0.0334425223720879	0.0924446047866306	0.361757427048078	0.717533308672611	0.833959856206373
"Rem1"	14.7913429020756	0.0512409983214915	0.820496662810104	0.0624511965057812	0.950203525575717	NA
"Rnf17"	108.737400652408	0.151727756649738	0.449569515491022	0.337495651777057	0.735743289454707	0.846291071818804
"Trappc10"	15819.4362844611	-0.449868224315926	0.153565543208508	-2.92948675149805	0.00339522286248459	0.0495869139383008
"Ccm2"	2104.10181826015	-0.347350701565265	0.124561579880765	-2.78858619084442	0.00529386587570496	0.0614453073261063
"Wap"	10.4369150670197	1.15342375330978	0.516348561138763	2.23380840021321	0.0254956825977901	NA
"Tbrg4"	6214.27326701558	-0.0785505286729506	0.110261422860618	-0.712402639427635	0.476215481571859	0.654374580782854
"Tmprss2"	59337.2338757607	-0.289877913939697	0.203782471838903	-1.42248698489071	0.154884927175257	0.341827984892158
"Mx1"	2129.41786233553	0.904222569867841	0.442248586980121	2.04460250747728	0.0408940621021657	0.168727101833099
"Fap"	216.348168442842	0.555049691546053	0.300329583971336	1.84813525263308	0.0645827791293465	0.213908771318094
"Gcg"	1105.22428515056	-0.0558161385314062	0.333790113485595	-0.16721926826576	0.867197523991195	0.926101506752861
"Ndufa9"	8629.27669613072	-0.453369281888908	0.143311641142009	-3.16352027145973	0.00155873496042442	0.0334311553585448
"Egfl6"	98.6631381302913	0.356085454164594	0.242918843927338	1.46586180144636	0.14268594026404	0.327157859233928
"Lck"	220.775252659919	-0.334321168965068	0.177946961283173	-1.87876863169948	0.060276091933193	0.207859803244649
